,importance,names
0,0.011330435510093924,ts_signal__autocorrelation__lag_6
1,0.009287343535586152,ts_signal__autocorrelation__lag_5
2,0.008528340599418713,ts_signal__autocorrelation__lag_9
3,0.008427514400629181,ts_signal__number_peaks__n_10
4,0.007575978521432594,"ts_signal__fft_coefficient__coeff_63__attr_""abs"""
5,0.006992799281994061,ts_signal__autocorrelation__lag_4
6,0.006272171860170988,ts_signal__number_peaks__n_5
7,0.0061927887750706035,ts_signal__number_peaks__n_1
8,0.0061260490483766965,ts_signal__partial_autocorrelation__lag_2
9,0.005769337543529889,ts_signal__partial_autocorrelation__lag_1
10,0.005654149179239777,ts_signal__number_peaks__n_3
11,0.0054976918114954644,ts_signal__autocorrelation__lag_7
12,0.005158928169679027,ts_signal__cid_ce__normalize_True
13,0.005035069406415845,ts_signal__friedrich_coefficients__m_3__r_30__coeff_1
14,0.0049057998726911075,"ts_signal__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0"
15,0.004623980879708421,ts_signal__number_crossing_m__m_0
16,0.004571263062044627,ts_signal__autocorrelation__lag_1
17,0.004479379069434621,ts_signal__autocorrelation__lag_2
18,0.004233639206106725,"ts_signal__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2"
19,0.004151616512493492,"ts_signal__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0"
20,0.004035067759710452,ts_signal__autocorrelation__lag_3
21,0.003828160317185779,"ts_signal__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4"
22,0.003732544321293264,ts_signal__autocorrelation__lag_8
23,0.0036891979938421375,ts_signal__quantile__q_0.3
24,0.003687057225538811,"ts_signal__linear_trend__attr_""stderr"""
25,0.003668317977328362,ts_signal__mean_abs_change
26,0.003626537752732815,"ts_signal__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6"
27,0.003535525334020286,ts_signal__quantile__q_0.6
28,0.003524065207373872,ts_signal__quantile__q_0.2
29,0.003500251291400151,"ts_signal__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6"
30,0.003404192368461673,"ts_signal__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.0"
31,0.003294144396446653,ts_signal__quantile__q_0.7
32,0.003246610299621103,"ts_signal__agg_autocorrelation__f_agg_""mean"""
33,0.0032058569084695353,ts_signal__ar_coefficient__k_10__coeff_2
34,0.0031730626701336763,ts_signal__ar_coefficient__k_10__coeff_1
35,0.0031663580959377428,"ts_signal__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2"
36,0.003157385202105515,"ts_signal__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6"
37,0.003073609752158277,ts_signal__ar_coefficient__k_10__coeff_4
38,0.002937501435055893,ts_signal__number_cwt_peaks__n_1
39,0.0029197146676005754,ts_signal__quantile__q_0.8
40,0.002887386122211757,ts_signal__ar_coefficient__k_10__coeff_3
41,0.002876323872083675,ts_signal__quantile__q_0.1
42,0.002698098216858652,ts_signal__partial_autocorrelation__lag_3
43,0.0026281939616307017,"ts_signal__agg_autocorrelation__f_agg_""median"""
44,0.002615710336342301,"ts_signal__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8"
45,0.002609704006411437,"ts_signal__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4"
46,0.002547586979150614,"ts_signal__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2"
47,0.0025355067730263746,ts_signal__maximum
48,0.002529801313447012,"ts_signal__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6"
49,0.0025214449945795787,"ts_signal__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""stderr"""
50,0.002490516911844564,"ts_signal__fft_aggregated__aggtype_""variance"""
51,0.002459689464580346,"ts_signal__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""intercept"""
52,0.002428233035170922,"ts_signal__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.6"
53,0.0024146355087758106,"ts_signal__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2"
54,0.002402865171562799,ts_signal__longest_strike_above_mean
55,0.0023988614757012834,"ts_signal__fft_coefficient__coeff_63__attr_""real"""
56,0.0023716696480808198,"ts_signal__fft_aggregated__aggtype_""centroid"""
57,0.0023504187918467322,"ts_signal__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2"
58,0.002340162726772638,ts_signal__quantile__q_0.4
59,0.002284635220067437,"ts_signal__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2"
60,0.002280526634036778,"ts_signal__agg_linear_trend__f_agg_""min""__chunk_len_50__attr_""stderr"""
61,0.002270351462779764,"ts_signal__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4"
62,0.002269197042883077,ts_signal__standard_deviation
63,0.0022420152391355074,"ts_signal__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""stderr"""
64,0.002201497969702146,ts_signal__approximate_entropy__m_2__r_0.1
65,0.002194301773158885,"ts_signal__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""intercept"""
66,0.002175996548434779,ts_signal__absolute_sum_of_changes
67,0.002165389802366492,ts_signal__number_cwt_peaks__n_5
68,0.002162988018800777,"ts_signal__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2"
69,0.002144161938117618,"ts_signal__agg_linear_trend__f_agg_""min""__chunk_len_5__attr_""intercept"""
70,0.0020876336994846553,"ts_signal__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.0"
71,0.002065952437310066,"ts_signal__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.4"
72,0.0020634645691721943,"ts_signal__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.0"
73,0.00205946233609219,"ts_signal__agg_linear_trend__f_agg_""max""__chunk_len_5__attr_""rvalue"""
74,0.0020476597966355065,"ts_signal__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4"
75,0.002037865355205142,ts_signal__ratio_beyond_r_sigma__r_5
76,0.002025824730144413,"ts_signal__change_quantiles__f_agg_""var""__isabs_True__qh_0.2__ql_0.0"
77,0.002017512587644132,"ts_signal__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2"
78,0.002017146700017686,"ts_signal__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.0"
79,0.0020124116363441067,ts_signal__approximate_entropy__m_2__r_0.5
80,0.001978711700134613,"ts_signal__fft_aggregated__aggtype_""skew"""
81,0.0019585299665533717,"ts_signal__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6"
82,0.001950694099637416,ts_signal__number_peaks__n_50
83,0.0019497510327091984,"ts_signal__agg_linear_trend__f_agg_""min""__chunk_len_10__attr_""stderr"""
84,0.0019491693332598255,"ts_signal__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.0"
85,0.0019482318685059609,ts_signal__approximate_entropy__m_2__r_0.9
86,0.0018805071863840274,"ts_signal__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4"
87,0.001878483515346779,ts_signal__approximate_entropy__m_2__r_0.3
88,0.001872449039754057,ts_signal__approximate_entropy__m_2__r_0.7
89,0.0018715728716329452,"ts_signal__fft_coefficient__coeff_61__attr_""abs"""
90,0.0018693057801495113,"ts_signal__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6"
91,0.0018682679074659761,"ts_signal__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2"
92,0.0018569236511230445,ts_signal__ratio_beyond_r_sigma__r_6
93,0.0018495278999221727,"ts_signal__agg_linear_trend__f_agg_""var""__chunk_len_10__attr_""stderr"""
94,0.0018229166472111774,ts_signal__time_reversal_asymmetry_statistic__lag_2
95,0.0018170036940174496,"ts_signal__fft_coefficient__coeff_22__attr_""abs"""
96,0.0018139750044712157,"ts_signal__agg_autocorrelation__f_agg_""var"""
97,0.0018040049164696973,"ts_signal__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2"
98,0.0017947831491952524,ts_signal__sample_entropy
99,0.0017863281432528313,ts_signal__cid_ce__normalize_False
100,0.0017712911203338706,ts_signal__ratio_beyond_r_sigma__r_1
101,0.0017643594472022235,"ts_signal__agg_linear_trend__f_agg_""max""__chunk_len_10__attr_""stderr"""
102,0.0017534658111691918,ts_signal__ratio_beyond_r_sigma__r_0.5
103,0.0017422657372631767,"ts_signal__fft_coefficient__coeff_63__attr_""imag"""
104,0.0017357418000691627,"ts_signal__fft_coefficient__coeff_88__attr_""abs"""
105,0.0017332959655363056,"ts_signal__agg_linear_trend__f_agg_""mean""__chunk_len_5__attr_""stderr"""
106,0.0017288016064223395,"ts_signal__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8"
107,0.0017221676733502182,"ts_signal__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.4"
108,0.0016903817981388292,"ts_signal__fft_coefficient__coeff_13__attr_""abs"""
109,0.0016859801823505714,"ts_signal__fft_coefficient__coeff_90__attr_""abs"""
110,0.0016662005860963412,"ts_signal__change_quantiles__f_agg_""mean""__isabs_True__qh_0.2__ql_0.0"
111,0.0016644068896481512,"ts_signal__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4"
112,0.001657060106046588,"ts_signal__fft_coefficient__coeff_60__attr_""angle"""
113,0.001638227632757778,ts_signal__spkt_welch_density__coeff_8
114,0.0016313025894303874,"ts_signal__fft_coefficient__coeff_76__attr_""abs"""
115,0.0016214999337139785,ts_signal__ratio_beyond_r_sigma__r_3
116,0.001621235265302752,ts_signal__quantile__q_0.9
117,0.0016190351370898315,"ts_signal__agg_linear_trend__f_agg_""mean""__chunk_len_10__attr_""stderr"""
118,0.001615833256799074,ts_signal__friedrich_coefficients__m_3__r_30__coeff_0
119,0.0016088979366816396,"ts_signal__fft_coefficient__coeff_17__attr_""abs"""
120,0.0016028106680434488,"ts_signal__fft_coefficient__coeff_99__attr_""angle"""
121,0.0016025625927845693,ts_signal__longest_strike_below_mean
122,0.0015934902416165225,"ts_signal__fft_coefficient__coeff_16__attr_""abs"""
123,0.0015916757490514744,"ts_signal__fft_coefficient__coeff_93__attr_""abs"""
124,0.001589715574466526,ts_signal__spkt_welch_density__coeff_5
125,0.0015849157798011402,ts_signal__large_standard_deviation__r_0.1
126,0.001570543660137602,"ts_signal__fft_coefficient__coeff_7__attr_""angle"""
127,0.001567992009036985,"ts_signal__fft_coefficient__coeff_78__attr_""real"""
128,0.0015664630143816314,"ts_signal__fft_coefficient__coeff_57__attr_""abs"""
129,0.0015649034259648212,"ts_signal__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0"
130,0.0015643569208797713,"ts_signal__fft_coefficient__coeff_18__attr_""abs"""
131,0.0015612009844662355,"ts_signal__fft_coefficient__coeff_44__attr_""angle"""
132,0.0015545945203012939,"ts_signal__fft_coefficient__coeff_86__attr_""angle"""
133,0.0015538436012024848,"ts_signal__fft_coefficient__coeff_7__attr_""abs"""
134,0.0015463584063436838,"ts_signal__fft_coefficient__coeff_96__attr_""abs"""
135,0.0015457844433075507,"ts_signal__fft_coefficient__coeff_86__attr_""abs"""
136,0.0015411201729718178,"ts_signal__fft_coefficient__coeff_74__attr_""abs"""
137,0.001534595302570108,"ts_signal__fft_coefficient__coeff_87__attr_""abs"""
138,0.001533861163905264,ts_signal__abs_energy
139,0.0015320148723606069,"ts_signal__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4"
140,0.0015297420607504894,ts_signal__energy_ratio_by_chunks__num_segments_10__segment_focus_1
141,0.001523505709753147,ts_signal__minimum
142,0.0015212704056404207,"ts_signal__agg_linear_trend__f_agg_""max""__chunk_len_10__attr_""slope"""
143,0.0015196415258272873,"ts_signal__fft_coefficient__coeff_19__attr_""abs"""
144,0.0015196279504704172,ts_signal__kurtosis
145,0.001518058065273167,"ts_signal__fft_coefficient__coeff_68__attr_""angle"""
146,0.0015166975985893762,"ts_signal__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.0"
147,0.0015096041336903011,"ts_signal__fft_coefficient__coeff_76__attr_""angle"""
148,0.0015036283665898975,"ts_signal__agg_linear_trend__f_agg_""var""__chunk_len_5__attr_""intercept"""
149,0.001500904675249473,"ts_signal__fft_coefficient__coeff_10__attr_""abs"""
